ref,cluster,subject,status,n_msgs,first,last,reopen_loop,unresolved
TAL-00118,chart_core_ui,Flat top bottom,user_replied,6,2026-05-25,2026-07-01,yes,yes
TAL-00157,chart_core_ui,chart bug,user_replied,35,2026-05-26,2026-06-20,yes,yes
TAL-00227,chart_core_ui,Clone and Copy,user_replied,6,2026-05-28,2026-06-17,yes,yes
TAL-00284,chart_core_ui,Quick menu,user_replied,2,2026-05-31,2026-06-17,,yes
TAL-00351,chart_core_ui,bolingar band,user_replied,3,2026-06-02,2026-06-17,,yes
TAL-00427,chart_core_ui,Mass index,user_replied,3,2026-06-04,2026-06-21,yes,yes
TAL-00812,chart_core_ui,quick menu,resolved,1,2026-06-17,2026-06-17,,
TAL-00813,chart_core_ui,lock,resolved,1,2026-06-17,2026-06-17,,
TAL-00814,chart_core_ui,markets name,user_replied,2,2026-06-17,2026-07-01,,yes
TAL-00816,chart_core_ui,MAE stuck,resolved,1,2026-06-18,2026-06-18,,
TAL-00820,chart_core_ui,FAQ,resolved,1,2026-06-18,2026-06-18,,
TAL-00821,chart_core_ui,settings,user_replied,5,2026-06-18,2026-07-02,yes,yes
TAL-00823,chart_core_ui,screenshot,resolved,3,2026-06-18,2026-06-21,,
TAL-00824,chart_core_ui,alert,resolved,2,2026-06-18,2026-06-18,,
TAL-00825,chart_core_ui,supporting,resolved,3,2026-06-18,2026-06-18,,
TAL-00826,chart_core_ui,time frame,resolved,1,2026-06-18,2026-06-18,,
TAL-00827,chart_core_ui,chart,resolved,2,2026-06-19,2026-06-19,,
TAL-00829,chart_core_ui,chart,resolved,1,2026-06-19,2026-06-19,,
TAL-00831,chart_core_ui,margin bug,resolved,2,2026-06-19,2026-06-19,,
TAL-00832,chart_core_ui,Settings survive reload,resolved,1,2026-06-19,2026-06-19,,
TAL-00833,chart_core_ui,shorcuts,resolved,1,2026-06-19,2026-06-19,,
TAL-00834,chart_core_ui,Go To menu,user_replied,10,2026-06-19,2026-07-01,,yes
TAL-00836,chart_core_ui,Magnet,user_replied,4,2026-06-19,2026-07-01,yes,yes
TAL-00837,chart_core_ui,Visibility — Hide,resolved,3,2026-06-19,2026-06-22,,
TAL-00838,chart_core_ui,Delete,resolved,1,2026-06-19,2026-06-19,,
TAL-00841,chart_core_ui,price label,user_replied,4,2026-06-19,2026-07-02,yes,yes
TAL-00842,chart_core_ui,end points,resolved,2,2026-06-19,2026-06-19,,
TAL-00848,chart_core_ui,Chart,resolved,1,2026-06-20,2026-06-20,,
TAL-00850,chart_core_ui,object tree,resolved,3,2026-06-20,2026-06-20,,
TAL-00860,chart_core_ui,Flat top bottom,resolved,1,2026-06-20,2026-06-20,,
TAL-00881,chart_core_ui,Label,resolved,3,2026-06-20,2026-06-20,,
TAL-00883,chart_core_ui,emoji,resolved,1,2026-06-20,2026-06-20,,
TAL-00885,chart_core_ui,coordinates,user_replied,2,2026-06-20,2026-07-02,,yes
TAL-00886,chart_core_ui,objects tree,user_replied,7,2026-06-20,2026-07-02,,yes
TAL-00888,chart_core_ui,Simple Moving Average,resolved,1,2026-06-20,2026-06-20,,
TAL-00890,chart_core_ui,Chart,resolved,2,2026-06-20,2026-06-20,,
TAL-00891,chart_core_ui,Exponential Moving Average,resolved,1,2026-06-20,2026-06-20,,
TAL-00892,chart_core_ui,Weighted Moving Average,resolved,1,2026-06-20,2026-06-20,,
TAL-00902,chart_core_ui,Relative Strength Index,resolved,1,2026-06-20,2026-06-20,,
TAL-00909,chart_core_ui,pre trade tag,resolved,1,2026-06-21,2026-06-21,,
TAL-00911,chart_core_ui,time in price label,resolved,4,2026-06-21,2026-06-21,,
TAL-00916,chart_core_ui,Step timeframe interval,resolved,1,2026-06-21,2026-06-21,,
TAL-00918,chart_core_ui,Create price alert,resolved,1,2026-06-21,2026-06-21,,
TAL-00921,chart_core_ui,Analytics,resolved,1,2026-06-21,2026-06-21,,
TAL-00922,chart_core_ui,P12-0039 - 30-minute stress test,resolved,1,2026-06-21,2026-06-21,,
TAL-00924,chart_core_ui,Stability,resolved,1,2026-06-21,2026-06-21,,
TAL-00954,chart_core_ui,RVI,resolved,2,2026-06-21,2026-06-21,,
TAL-00980,chart_core_ui,startisy builder,resolved,1,2026-06-22,2026-06-22,,
TAL-00990,chart_core_ui,Missing forex symbols,resolved,1,2026-06-23,2026-06-23,,
TAL-00991,chart_core_ui,Futures tickers,resolved,1,2026-06-23,2026-06-23,,
TAL-00993,chart_core_ui,right click list,resolved,2,2026-06-23,2026-06-23,,
TAL-00994,chart_core_ui,percision,resolved,1,2026-06-23,2026-06-23,,
TAL-00995,chart_core_ui,chart logo,resolved,1,2026-06-23,2026-06-23,,
TAL-01001,chart_core_ui,dash jornal,user_replied,10,2026-06-23,2026-06-25,yes,yes
TAL-01002,chart_core_ui,dashbord,user_replied,2,2026-06-23,2026-06-25,,yes
TAL-01021,chart_core_ui,Trades Metrics,user_replied,6,2026-06-24,2026-06-25,,yes
TAL-01022,chart_core_ui,trades F5,resolved,1,2026-06-24,2026-06-24,,
TAL-01023,chart_core_ui,trades timing,resolved,1,2026-06-24,2026-06-24,,
TAL-01025,chart_core_ui,trades color,resolved,1,2026-06-24,2026-06-24,,
TAL-01028,chart_core_ui,Trades filter,resolved,2,2026-06-24,2026-06-24,,
TAL-01029,chart_core_ui,Compare mode,user_replied,2,2026-06-24,2026-06-25,,yes
TAL-01030,chart_core_ui,trades,resolved,8,2026-06-24,2026-06-25,,
TAL-01032,chart_core_ui,Trade ID,user_replied,5,2026-06-24,2026-06-25,,yes
TAL-01033,chart_core_ui,trades screenshot,resolved,2,2026-06-24,2026-06-25,,
TAL-01034,chart_core_ui,trade appear,user_replied,2,2026-06-24,2026-06-25,,yes
TAL-01035,chart_core_ui,Edit trade,user_replied,8,2026-06-24,2026-06-25,,yes
TAL-01036,chart_core_ui,source change,user_replied,3,2026-06-24,2026-06-25,,yes
TAL-01037,chart_core_ui,trade without exit,resolved,2,2026-06-24,2026-06-24,,
TAL-01040,chart_core_ui,Seesion,resolved,1,2026-06-24,2026-06-24,,
TAL-01055,chart_core_ui,Trade,resolved,1,2026-06-25,2026-06-25,,
TAL-01056,chart_core_ui,Trade,resolved,1,2026-06-25,2026-06-25,,
TAL-01057,chart_core_ui,Trades,resolved,1,2026-06-25,2026-06-25,,
TAL-01058,chart_core_ui,Trades,resolved,1,2026-06-25,2026-06-25,,
TAL-01059,chart_core_ui,Trades,resolved,1,2026-06-25,2026-06-25,,
TAL-01060,chart_core_ui,Trades,resolved,1,2026-06-25,2026-06-25,,
TAL-01061,chart_core_ui,Trades,closed,1,2026-06-25,2026-06-25,,
TAL-01063,chart_core_ui,trade date,user_replied,4,2026-06-25,2026-06-25,,yes
TAL-01066,chart_core_ui,Trades,resolved,2,2026-06-26,2026-06-26,,
TAL-01067,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01068,chart_core_ui,Trades,user_replied,3,2026-06-26,2026-06-27,,yes
TAL-01069,chart_core_ui,Trades,resolved,2,2026-06-26,2026-06-26,,
TAL-01070,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01071,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01072,chart_core_ui,Trades,resolved,2,2026-06-26,2026-06-26,,
TAL-01073,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01074,chart_core_ui,Trades,resolved,2,2026-06-26,2026-06-26,,
TAL-01075,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01076,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01077,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01078,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01079,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01080,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01081,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01082,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01083,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01084,chart_core_ui,Trades,resolved,1,2026-06-26,2026-06-26,,
TAL-01095,chart_core_ui,website,resolved,1,2026-06-26,2026-06-26,,
TAL-01099,chart_core_ui,interval,resolved,1,2026-06-26,2026-06-26,,
TAL-01101,chart_core_ui,setting,resolved,2,2026-06-27,2026-06-27,,
TAL-01102,chart_core_ui,time label,resolved,2,2026-06-27,2026-06-27,,
TAL-01106,chart_core_ui,Trades-Filters,resolved,1,2026-06-27,2026-06-27,,
TAL-01107,chart_core_ui,Trades - Filters,resolved,1,2026-06-27,2026-06-27,,
TAL-01108,chart_core_ui,Trades,resolved,1,2026-06-27,2026-06-27,,
TAL-01109,chart_core_ui,Trades,user_replied,3,2026-06-27,2026-06-28,,yes
TAL-01127,chart_core_ui,Chart,user_replied,4,2026-06-28,2026-06-28,,yes
TAL-01147,chart_core_ui,Objictave tree,resolved,1,2026-06-28,2026-06-28,,
TAL-01157,chart_core_ui,visibility,resolved,1,2026-06-28,2026-06-28,,
TAL-01159,chart_core_ui,zome in/out on dachboard,resolved,1,2026-06-28,2026-06-28,,
TAL-01186,chart_core_ui,interval,resolved,1,2026-06-28,2026-06-28,,
TAL-01187,chart_core_ui,news,resolved,4,2026-06-28,2026-06-29,,
TAL-01225,chart_core_ui,comment,resolved,1,2026-06-29,2026-06-29,,
TAL-01226,chart_core_ui,comment,resolved,1,2026-06-29,2026-06-29,,
TAL-01227,chart_core_ui,comment,resolved,1,2026-06-29,2026-06-29,,
TAL-01231,chart_core_ui,signpots,resolved,1,2026-06-29,2026-06-29,,
TAL-01232,chart_core_ui,signpots,resolved,1,2026-06-29,2026-06-29,,
TAL-01239,chart_core_ui,Website,resolved,1,2026-06-29,2026-06-29,,
TAL-01243,chart_core_ui,Chart,resolved,2,2026-06-29,2026-06-29,,
TAL-01247,chart_core_ui,Simple Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01248,chart_core_ui,Simple Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01250,chart_core_ui,Exponential Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01252,chart_core_ui,Exponential Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01253,chart_core_ui,Exponential Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01254,chart_core_ui,Weighted Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01255,chart_core_ui,Weighted Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01256,chart_core_ui,Double Exponential Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01257,chart_core_ui,Triple Exponential Moving Average,resolved,1,2026-06-29,2026-06-29,,
TAL-01270,chart_core_ui,Relative Strength Index,resolved,1,2026-06-29,2026-06-29,,
TAL-01271,chart_core_ui,Relative Strength Index,resolved,1,2026-06-29,2026-06-29,,
TAL-01281,chart_core_ui,chart,resolved,1,2026-06-30,2026-06-30,,
TAL-01283,chart_core_ui,news,resolved,1,2026-06-30,2026-06-30,,
TAL-01301,chart_core_ui,Error,resolved,1,2026-06-30,2026-06-30,,
TAL-01306,chart_core_ui,Selecting,resolved,1,2026-06-30,2026-06-30,,
TAL-01313,chart_core_ui,التوقيت,resolved,1,2026-06-30,2026-06-30,,
TAL-01328,chart_core_ui,visibility,resolved,1,2026-06-30,2026-06-30,,
TAL-01352,chart_core_ui,كراوزر,resolved,1,2026-07-01,2026-07-01,,
TAL-01353,chart_core_ui,تطابق,resolved,2,2026-07-01,2026-07-01,,
TAL-01355,chart_core_ui,Ctrl clicking,resolved,1,2026-07-01,2026-07-01,,
TAL-01356,chart_core_ui,zoom in/out ctrl up,resolved,3,2026-07-01,2026-07-01,,
TAL-01357,chart_core_ui,Time label,resolved,1,2026-07-01,2026-07-01,,
TAL-01371,chart_core_ui,CHart,resolved,1,2026-07-01,2026-07-01,,
TAL-01373,chart_core_ui,Apply default price label,resolved,1,2026-07-01,2026-07-01,,
TAL-01374,chart_core_ui,quick menu,resolved,2,2026-07-01,2026-07-01,,
TAL-01383,chart_core_ui,copy paste lock,resolved,2,2026-07-01,2026-07-01,,
TAL-01384,chart_core_ui,undo with setting,resolved,1,2026-07-01,2026-07-01,,
TAL-01385,chart_core_ui,open setting close down bar,resolved,1,2026-07-01,2026-07-01,,
TAL-01407,chart_core_ui,OHLC,pending,4,2026-07-02,2026-07-03,,yes
TAL-01408,chart_core_ui,Blue Dot quick menu,closed,1,2026-07-02,2026-07-02,,
